"tenkm","cbc_code","index90","index10","diff","easting","northing"
"IW86","J.",0,0.0767326733,0.0767326733,-28151,233743
"IW87","J.",0,0.3143564356,0.3143564356,-27325,243728
"IW88","J.",0.1324257426,0,-0.132425743,-26498,253712
"IW89","J.",0.1064356436,0,-0.106435644,-25671,263696
"IW97","J.",0,0.2042079208,0.2042079208,-17341,242902
"IW98","J.",0,0.1992574257,0.1992574257,-16515,252885
"IW99","J.",0,0.1262376238,0.1262376238,-15687,262868
"IX08","J.",0.1349009901,0.1757425743,0.0408415842,-6532,252058
"IX09","J.",0,0.2883663366,0.2883663366,-5705,262040
"IX19","J.",0,0.0507425743,0.0507425743,4277,261212
"NH21","J.",0,0.0853960396,0.0853960396,225000,815000
"NH44","J.",0,0.0792079208,0.0792079208,245000,845000
"NH73","J.",0,0.0952970297,0.0952970297,275000,835000
"NH74","J.",0,0.1559405941,0.1559405941,275000,845000
"NH92","J.",0,0.0878712871,0.0878712871,295000,825000
"NH94","J.",0,0.3576732673,0.3576732673,295000,845000
"NH95","J.",0,0.146039604,0.146039604,295000,855000
"NH96","J.",0,0.1722772277,0.1722772277,295000,865000
"NJ04","J.",0,0.4071782178,0.4071782178,305000,845000
"NJ06","J.",0,0.1423267327,0.1423267327,305000,865000
"NJ13","J.",0,0.0853960396,0.0853960396,315000,835000
"NJ14","J.",0.0569306931,0,-0.056930693,315000,845000
"NJ15","J.",0,0.146039604,0.146039604,315000,855000
"NJ24","J.",0,0.0903465347,0.0903465347,325000,845000
"NJ25","J.",0,0.1361386139,0.1361386139,325000,855000
"NJ26","J.",0,0.0792079208,0.0792079208,325000,865000
"NJ34","J.",0.1225247525,0,-0.122524752,335000,845000
"NJ35","J.",0,0.1881188119,0.1881188119,335000,855000
"NJ36","J.",0,0.0878712871,0.0878712871,335000,865000
"NJ40","J.",0.1237623762,0.1089108911,-0.014851485,345000,805000
"NJ41","J.",0.3613861386,0.4851485149,0.1237623762,345000,815000
"NJ42","J.",0.2103960396,0.1893564356,-0.021039604,345000,825000
"NJ43","J.",0,0.2524752475,0.2524752475,345000,835000
"NJ46","J.",0,0.1893564356,0.1893564356,345000,865000
"NJ50","J.",0.1398514851,0.1311881188,-0.008663366,355000,805000
"NJ51","J.",0,0.2537128713,0.2537128713,355000,815000
"NJ53","J.",0,0.1881188119,0.1881188119,355000,835000
"NJ54","J.",0,0.099009901,0.099009901,355000,845000
"NJ55","J.",0,0.1076732673,0.1076732673,355000,855000
"NJ56","J.",0,0.0829207921,0.0829207921,355000,865000
"NJ60","J.",0,0.3997524752,0.3997524752,365000,805000
"NJ61","J.",0.2698019802,0.3155940594,0.0457920792,365000,815000
"NJ62","J.",0,0.5247524752,0.5247524752,365000,825000
"NJ64","J.",0.1311881188,0,-0.131188119,365000,845000
"NJ65","J.",0,0.0952970297,0.0952970297,365000,855000
"NJ70","J.",0,0.2561881188,0.2561881188,375000,805000
"NJ73","J.",0,0.0940594059,0.0940594059,375000,835000
"NJ80","J.",0,0.0915841584,0.0915841584,385000,805000
"NJ81","J.",0,0.1732673267,0.1732673267,385000,815000
"NM55","J.",0,0.0903465347,0.0903465347,155000,755000
"NM65","J.",0,0.1027227723,0.1027227723,165000,755000
"NM82","J.",0,0.1621287129,0.1621287129,185000,725000
"NM83","J.",0,0.3055162659,0.3055162659,185000,735000
"NM84","J.",0,0.0829207921,0.0829207921,185000,745000
"NM91","J.",0,0.3193069307,0.3193069307,195000,715000
"NM92","J.",0,0.1101485149,0.1101485149,195000,725000
"NM93","J.",0,0.2202970297,0.2202970297,195000,735000
"NM95","J.",0,0.0952970297,0.0952970297,195000,755000
"NM98","J.",0,0.0841584158,0.0841584158,195000,785000
"NN00","J.",0,0.1992574257,0.1992574257,205000,705000
"NN01","J.",0,0.271039604,0.271039604,205000,715000
"NN02","J.",0,0.3688118812,0.3688118812,205000,725000
"NN04","J.",0,0.0841584158,0.0841584158,205000,745000
"NN10","J.",0,0.1893564356,0.1893564356,215000,705000
"NN11","J.",0.1287128713,0.1262376238,-0.002475248,215000,715000
"NN12","J.",0,0.129950495,0.129950495,215000,725000
"NN18","J.",0.2673267327,0.349009901,0.0816831683,215000,785000
"NN19","J.",0.0829207921,0,-0.082920792,215000,795000
"NN20","J.",0,0.2475247525,0.2475247525,225000,705000
"NN22","J.",0,0.1398514851,0.1398514851,225000,725000
"NN29","J.",0,0.1262376238,0.1262376238,225000,795000
"NN30","J.",0.1225247525,0.2227722772,0.1002475248,235000,705000
"NN40","J.",0.2475247525,0,-0.247524752,245000,705000
"NN41","J.",0,0.0853960396,0.0853960396,245000,715000
"NN42","J.",0,0.1992574257,0.1992574257,245000,725000
"NN50","J.",0.1138613861,0.3898514851,0.275990099,255000,705000
"NN51","J.",0.1175742574,0.2512376238,0.1336633663,255000,715000
"NN52","J.",0,0.2995049505,0.2995049505,255000,725000
"NN53","J.",0,0.1113861386,0.1113861386,255000,735000
"NN55","J.",0.1138613861,0,-0.113861386,255000,755000
"NN61","J.",0,0.0952970297,0.0952970297,265000,715000
"NN62","J.",0.1448019802,0.25,0.1051980198,265000,725000
"NN63","J.",0.1138613861,0.1472772277,0.0334158416,265000,735000
"NN64","J.",0,0.0804455446,0.0804455446,265000,745000
"NN65","J.",0.0680693069,0.1002475248,0.0321782178,265000,755000
"NN70","J.",0,0.5309405941,0.5309405941,275000,705000
"NN71","J.",0,0.1274752475,0.1274752475,275000,715000
"NN72","J.",0,0.1596534653,0.1596534653,275000,725000
"NN74","J.",0,0.3329207921,0.3329207921,275000,745000
"NN75","J.",0.1311881188,0.1868811881,0.0556930693,275000,755000
"NN76","J.",0.1324257426,0.1410891089,0.0086633663,275000,765000
"NN81","J.",0.254950495,0.4566831683,0.2017326733,285000,715000
"NN82","J.",0.2574257426,0.2846534653,0.0272277228,285000,725000
"NN84","J.",0.2215346535,0.25,0.0284653465,285000,745000
"NN85","J.",0.3069306931,0.254950495,-0.051980198,285000,755000
"NN86","J.",0.1373762376,0.3638613861,0.2264851485,285000,765000
"NN87","J.",0,0.1361386139,0.1361386139,285000,775000
"NN90","J.",0,0.0569306931,0.0569306931,295000,705000
"NN91","J.",0.2487623762,0.3477722772,0.099009901,295000,715000
"NN92","J.",0.2252475248,0.2673267327,0.0420792079,295000,725000
"NN94","J.",0.0878712871,0.2165841584,0.1287128713,295000,745000
"NN95","J.",0.2165841584,0.2252475248,0.0086633663,295000,755000
"NN96","J.",0.125,0.2599009901,0.1349009901,295000,765000
"NO00","J.",0.1349009901,0.2264851485,0.0915841584,305000,705000
"NO01","J.",0.2747524752,0.4455445545,0.1707920792,305000,715000
"NO02","J.",0.6076732673,0.4405940594,-0.167079208,305000,725000
"NO03","J.",0.2252475248,0.3465346535,0.1212871287,305000,735000
"NO04","J.",0.2561881188,0.474009901,0.2178217822,305000,745000
